Player,Tm,tier,bucket,Age,years,WA_z,salary_25,npv,npv_effective
Evan Mobley,CLE,second_apron,max,24,5,1.34,46.4,-207.2,-642.2
Jaylen Brown,BOS,first_apron,max,29,4,1.72,53.1,-186.3,-428.5
Luka DonÄiÄ,LAL,first_apron,max,26,4,3.61,46.0,-129.7,-363.2
Anthony Edwards,MIN,first_apron,max,24,4,1.74,45.6,-152.0,-349.5
Donovan Mitchell,CLE,second_apron,max,29,3,2.33,46.4,-110.3,-342.1
OG Anunoby,NYK,first_apron,max,28,4,1.18,39.6,-137.6,-316.5
Karl-Anthony Towns,NYK,first_apron,max,30,3,2.06,53.1,-133.7,-307.4
Stephen Curry,GSW,first_apron,max,37,2,0.9,59.6,-108.2,-303.1
Jimmy Butler,GSW,first_apron,max,36,2,1.08,54.1,-95.9,-268.6
Alperen ÅengÃ¼n,HOU,first_apron,open_negotiation,23,5,2.08,33.9,-116.8,-268.6
